"ID" "Age" "Sex" "LicTime" "ActCar" "Kids5" "Kids6" "PreferCar" "Car15K" "Reason" "Cost" "Reliable" "Perform" "Fuel" "Safety" "AC.PS" "Park" "Room" "Doors" "Prestige" "Colour"
"1" "110" "18" "2" "2" "3" "2" "2" "2" "2" "1" "3" "4" "3" "3" "3" "3" "3" "3" "3" "3" "2"
"2" "111" "25" "1" "96" "1" "2" "2" "1" "1" "1" "4" "4" "4" "4" "4" "3" "4" "4" "2" "3" "3"
"3" "112" "63" "2" "552" "3" "2" "2" "3" "2" "5" "3" "3" "3" "3" "3" "3" "3" "3" "3" "3" "3"
"4" "113" "51" "1" "420" "3" "2" "2" "2" "2" "1" "2" "3" "3" "3" "4" "3" "3" "3" "3" "1" "3"
"5" "114" "19" "1" "24" "2" "2" "2" "2" "1" "6" "3" "3" "4" "3" "3" "2" "3" "3" "2" "3" "3"
"6" "115" "51" "1" "360" "2" "1" "1" "2" "2" "5" "3" "4" "4" "3" "4" "4" "3" "3" "3" "2" "3"
"7" "116" "64" "1" "420" "1" "2" "2" "2" "2" "3" "3" "4" "3" "3" "4" "2" "3" "3" "4" "2" "2"
"8" "117" "60" "1" "420" "3" "2" "2" "1" "1" "1" "3" "4" "4" "4" "4" "4" "3" "2" "2" "1" "1"
"9" "118" "23" "1" "60" "1" "2" "2" "1" "1" "1" "3" "4" "3" "3" "4" "3" "3" "3" "1" "2" "3"
"10" "119" "42" "1" "240" "3" "2" "1" "1" "1" "5" "3" "4" "3" "4" "4" "4" "4" "4" "3" "2" "3"
"11" "120" "21" "2" "48" "1" "2" "2" "4" "2" "4" "4" "4" "3" "3" "4" "3" "2" "3" "2" "2" "2"
"12" "121" "41" "2" "288" "3" "2" "1" "3" "2" "2" "4" "3" "3" "3" "3" "1" "1" "3" "3" "1" "2"
"13" "122" "23" "2" "60" "3" "2" "2" "4" "2" "5" "4" "3" "3" "3" "3" "4" "2" "3" "3" "2" "2"
"14" "123" "68" "2" "600" "2" "2" "2" "3" "1" "2" "3" "4" "3" "3" "3" "3" "2" "3" "1" "2" "3"
"15" "124" "27" "2" "120" "3" "2" "2" "2" "2" "3" "3" "4" "3" "4" "4" "3" "2" "2" "3" "2" "3"
"16" "125" "21" "1" "42" "2" "2" "2" "2" "1" "2" "4" "4" "3" "3" "4" "1" "1" "1" "1" "1" "2"
"17" "126" "18" "1" "2" "1" "2" "2" "1" "1" "1" "3" "4" "4" "3" "4" "1" "1" "2" "1" "1" "1"
"18" "127" "24" "1" "4" "2" "1" "1" "3" "2" "5" "4" "4" "4" "3" "4" "2" "3" "4" "3" "1" "2"
"19" "128" "45" "1" "324" "3" "2" "2" "2" "2" "1" "3" "4" "3" "3" "4" "4" "4" "3" "3" "3" "3"
"20" "129" "47" "2" "360" "3" "1" "1" "3" "2" "2" "4" "3" "1" "4" "3" "2" "1" "2" "2" "1" "1"
"21" "130" "23" "2" "30" "1" "2" "2" "2" "2" "3" "4" "3" "3" "4" "3" "2" "3" "2" "3" "1" "1"
"22" "1" "27" "2" "120" "3" "2" "2" "2" "2" "4" "4" "3" "4" "2" "3" "3" "1" "2" "1" "3" "1"
"23" "2" "24" "2" "72" "1" "2" "2" "2" "2" "4" "3" "4" "3" "2" "3" "1" "2" "3" "1" "1" "2"
"24" "3" "31" "1" "180" "3" "1" "2" "4" "2" "1" "3" "4" "2" "2" "4" "4" "2" "4" "4" "2" "1"
"25" "4" "47" "1" "360" "1" "2" "1" "2" "1" "2" "4" "4" "2" "3" "4" "4" "3" "2" "2" "2" "3"
"26" "5" "23" "2" "72" "1" "2" "2" "2" "2" "3" "3" "4" "4" "4" "4" "3" "3" "3" "2" "2" "3"
"27" "7" "18" "2" "12" "3" "2" "1" "3" "2" "2" "1" "3" "3" "4" "4" "3" "3" "3" "2" "2" "1"
"28" "131" "19" "1" "12" "2" "2" "2" "1" "2" "1" "4" "3" "2" "3" "4" "1" "2" "1" "1" "1" "2"
"29" "132" "23" "1" "72" "1" "2" "2" "2" "1" "1" "1" "4" "2" "4" "4" "2" "3" "3" "1" "1" "1"
"30" "133" "31" "2" "120" "1" "1" "1" "3" "2" "1" "1" "2" "3" "4" "4" "3" "2" "4" "2" "2" "1"
"31" "134" "30" "1" "156" "3" "1" "1" "2" "2" "2" "3" "4" "3" "3" "4" "1" "1" "3" "1" "1" "1"
"32" "135" "51" "1" "408" "2" "2" "2" "3" "2" "1" "4" "4" "4" "3" "4" "4" "4" "3" "4" "3" "3"
"33" "136" "56" "2" "468" "3" "2" "1" "3" "2" "3" "4" "4" "3" "4" "4" "3" "1" "3" "4" "2" "4"
"34" "137" "22" "2" "48" "2" "2" "2" "2" "1" "6" "4" "3" "2" "3" "2" "1" "1" "1" "1" "1" "1"
