ID,Age,Sex,LicTime,ActCar,Kids,PreferCar,Car15K,Reason,Cost,Reliable,Perform,Fuel,Safety,AC.PS,Park,Room,Doors,Prestige,Colour
110,18,2,2,3,4,2,2,1,3,4,3,3,3,3,3,3,3,3,2
111,25,1,96,1,4,1,1,1,4,4,4,4,4,3,4,4,2,3,3
112,63,2,552,3,4,3,2,5,3,3,3,3,3,3,3,3,3,3,3
113,51,1,420,3,4,2,2,1,2,3,3,3,4,3,3,3,3,1,3
114,19,1,24,2,4,2,1,6,3,3,4,3,3,2,3,3,2,3,3
115,51,1,360,2,1,2,2,5,3,4,4,3,4,4,3,3,3,2,3
116,64,1,420,1,4,2,2,3,3,4,3,3,4,2,3,3,4,2,2
117,60,1,420,3,4,1,1,1,3,4,4,4,4,4,3,2,2,1,1
118,23,1,60,1,4,1,1,1,3,4,3,3,4,3,3,3,1,2,3
119,42,1,240,3,3,1,1,5,3,4,3,4,4,4,4,4,3,2,3
120,21,2,48,1,4,4,2,4,4,4,3,3,4,3,2,3,2,2,2
121,41,2,288,3,3,3,2,2,4,3,3,3,3,1,1,3,3,1,2
122,23,2,60,3,4,4,2,5,4,3,3,3,3,4,2,3,3,2,2
123,68,2,600,2,4,3,1,2,3,4,3,3,3,3,2,3,1,2,3
124,27,2,120,3,4,2,2,3,3,4,3,4,4,3,2,2,3,2,3
125,21,1,42,2,4,2,1,2,4,4,3,3,4,1,1,1,1,1,2
126,18,1,2,1,4,1,1,1,3,4,4,3,4,1,1,2,1,1,1
127,24,1,4,2,1,3,2,5,4,4,4,3,4,2,3,4,3,1,2
128,45,1,324,3,4,2,2,1,3,4,3,3,4,4,4,3,3,3,3
129,47,2,360,3,1,3,2,2,4,3,1,4,3,2,1,2,2,1,1
130,23,2,30,1,4,2,2,3,4,3,3,4,3,2,3,2,3,1,1
1,27,2,120,3,4,2,2,4,4,3,4,2,3,3,1,2,1,3,1
2,24,2,72,1,4,2,2,4,3,4,3,2,3,1,2,3,1,1,2
3,31,1,180,3,2,4,2,1,3,4,2,2,4,4,2,4,4,2,1
4,47,1,360,1,3,2,1,2,4,4,2,3,4,4,3,2,2,2,3
5,23,2,72,1,4,2,2,3,3,4,4,4,4,3,3,3,2,2,3
7,18,2,12,3,3,3,2,2,1,3,3,4,4,3,3,3,2,2,1
131,19,1,12,2,4,1,2,1,4,3,2,3,4,1,2,1,1,1,2
132,23,1,72,1,4,2,1,1,1,4,2,4,4,2,3,3,1,1,1
133,31,2,120,1,1,3,2,1,1,2,3,4,4,3,2,4,2,2,1
134,30,1,156,3,1,2,2,2,3,4,3,3,4,1,1,3,1,1,1
135,51,1,408,2,4,3,2,1,4,4,4,3,4,4,4,3,4,3,3
136,56,2,468,3,3,3,2,3,4,4,3,4,4,3,1,3,4,2,4
137,22,2,48,2,4,2,1,6,4,3,2,3,2,1,1,1,1,1,1
138,18,2,4,1,4,1,1,4,2,4,3,4,4,2,3,3,4,3,2
139,22,2,48,1,3,1,1,3,4,3,3,3,3,3,2,3,3,2,2
140,20,1,24,2,4,1,1,1,4,4,3,3,4,3,4,2,2,1,1
141,23,1,60,1,4,1,1,5,4,4,3,4,4,4,4,3,2,3,3
142,34,1,3,2,3,2,2,1,3,4,4,3,4,2,2,3,2,1,1
143,21,1,36,2,3,2,2,3,4,4,3,4,4,1,2,4,1,2,2
144,20,2,24,2,4,2,2,5,4,4,4,3,3,4,4,3,2,2,3
149,24,1,72,1,3,1,1,2,2,4,4,4,3,2,3,2,2,3,3
150,23,2,60,3,4,2,2,4,3,4,3,3,4,2,3,3,3,2,3
